,name,id
69,АО  УРГАЛУГОЛЬ,1022700732504-ao-urgalugol
70,АО  СУЭК-КРАСНОЯРСК,1072466008955-ao-suek-krasnoyarsk
71,ООО  КОМПАНИЯ ВОСТСИБУГОЛЬ,1023801003764-ooo-kompaniya-vostsibugol
72,ООО  СУЭК-ХАКАСИЯ,1071903000773-ooo-suek-hakasiya
73,ООО  ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМПЛЕКС ЖЕРНОВСКИЙ-1,1124217009245-ooo-gorno-obogatitelnyij-kompleks-zhernovskij-1
74,ООО  РАЗРЕЗ КУЗНЕЦКИЙ ЮЖНЫЙ,1184205023640-obschestvo-s-ogranichennoj-otvetstvennostyu-razrez-kuznetskij-yuzhnyij
75,АО  ШАХТА ЗАРЕЧНАЯ,1024201298978-ao-shahta-zarechnaya
76,АО  ШАХТОУПРАВЛЕНИЕ ТАЛДИНСКОЕ-КЫРГАЙСКОЕ,1104223001960-ao-shahtoupravlenie-taldinskoe-kyirgajskoe
77,ООО  РАЗРЕЗ ЧЕРЕМХОВУГОЛЬ,1193850023950-obschestvo-s-ogranichennoj-otvetstvennostyu-razrez-cheremhovugol
78,ООО  РАЗРЕЗУГОЛЬ,1133850039861-ooo-razrezugol
79,АО  РАЗРЕЗ СТЕПАНОВСКИЙ,1174205027259-ao-aktsionernoe-obschestvo-razrez-stepanovskij
80,ГУП  ГУП РЕСПУБЛИКИ КРЫМ ЧЕРНОМОРНЕФТЕГАЗ,1149102099717-gup-gup-respubliki-kryim-chernomorneftegaz
81,АО  СУРГУТНЕФТЕГАЗ,1028600584540-pao-surgutneftegaz
82,ООО  НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ,1028900578134-obschestvo-s-ogranichennoj-otvetstvennostyu-novatek-yurharovneftegaz
83,ООО  НАЦИОНАЛЬНЫЙ НЕФТЯНОЙ КОНСОРЦИУМ,5087746207038-ooo-natsionalnyij-neftyanoj-konsortsium
84,ООО  АРКТИК СПГ 2,1148904001278-ooo-arktik-spg-2
85,ООО  ГАЗПРОМ РЕСУРС ПУРГАЗ,1128905001884-ooo-gazprom-resurs-purgaz
86,ООО  ГАЗПРОМ ДОБЫЧА УРЕНГОЙ,1028900628932-ooo-gazprom-dobyicha-urengoj
87,ООО  НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ,1058901201920-obschestvo-s-ogranichennoj-otvetstvennostyu-novatek-tarkosaleneftegaz
88,ООО  ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ,1028601441978-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-lukojl-zapadnaya-sibir
89,ООО  РН-УВАТНЕФТЕГАЗ,1027201295395-ooo-rn-uvatneftegaz
90,АО  ГАЗПРОМНЕФТЬ-НОЯБРЬСКНЕФТЕГАЗ,1028900703963-ao-gazpromneft-noyabrskneftegaz
91,АО  РНГ,1037789063476-ao-rng
92,ООО  ГАЗПРОМНЕФТЬ-ТЕХНОЛОГИЧЕСКИЕ ПАРТНЕРСТВА,1188617010064-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-gazpromneft-tehnologicheskie-partnerstva
93,ООО  ГАЗПРОМ ДОБЫЧА АСТРАХАНЬ,1023001538460-ooo-gazprom-dobyicha-astrahan
94,ООО  ГАЗПРОМ ДОБЫЧА ЯМБУРГ,1028900624576-ooo-gazprom-dobyicha-yamburg
95,ООО  СЛАДКОВСКО-ЗАРЕЧНОЕ,1065611033652-ooo-sladkovsko-zarechnoe
96,ООО  ТАТНЕФТЬ-САМАРА,1091644003725-ooo-tatneft-samara
97,ООО  ЗАРУБЕЖНЕФТЬ-ДОБЫЧА ХАРЬЯГА,1157746887760-ooo-zarubezhneft-dobyicha-haryaga
98,ООО  ГАЗПРОМ ДОБЫЧА НАДЫМ,1028900578080-ooo-gazprom-dobyicha-nadyim
99,ООО  СОВМЕСТНАЯ КОМПАНИЯ РУСВЬЕТПЕТРО,1087746814000-ooo-sovmestnaya-kompaniya-rusvetpetro
100,АО  ВЕРХНЕКАМСКАЯ КАЛИЙНАЯ КОМПАНИЯ,1127746048572-ao-verhnekamskaya-kalijnaya-kompaniya
101,ООО  ЛУКОЙЛ ЭПУ СЕРВИС,1138608000080-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-lukojl-epu-servis
102,АО  СЕВЕРАЛМАЗ,1022901494945-pao-severalmaz
103,ООО  ГРК БЫСТРИНСКОЕ,1047796898600-ooo-grk-byistrinskoe
104,ООО  ГАЗПРОМ ФЛОТ,1027700198635-ooo-gazprom-flot
105,ООО  МЕДВЕЖИЙ РУЧЕЙ,1162468092852-ooo-medvezhij-ruchej
106,АО  СЕВЕРО-ЗАПАДНАЯ ФОСФОРНАЯ КОМПАНИЯ,1057747798778-ao-severo-zapadnaya-fosfornaya-kompaniya
107,ООО  КИМКАНО-СУТАРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ,1047796563077-ooo-kimkano-sutarskij-gorno-obogatitelnyij-kombinat
108,ООО  РН-БУРЕНИЕ,1067746404681-ooo-obschestvo-s-ogranichennoj-otvetstvennostyu-rn-burenie
109,ООО  ЧЕРНОГОРСКАЯ ГРК,1067746396299-ooo-chernogorskaya-grk
110,АО  ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ТИМИР,1081434001571-zao-gorno-metallurgicheskaya-kompaniya-timir
111,ООО  РН-ПУРНЕФТЕГАЗ,1058901407707-ooo-rn-purneftegaz
112,ООО  ЗОЛОТОРУДНАЯ КОМПАНИЯ МАЙСКОЕ,1047725002863-ooo-zolotorudnaya-kompaniya-majskoe
113,АО  ПЕРВАЯ НЕРУДНАЯ КОМПАНИЯ,1087746575652-ao-pervaya-nerudnaya-kompaniya
114,ООО  ГАЗПРОМНЕФТЬ-НЕФТЕСЕРВИС,1077760003419-ooo-gazpromneft-nefteservis
115,ООО  БАШНЕФТЬ-ДОБЫЧА,1090280032699-ooo-bashneft-dobyicha
116,ООО  РН-ГРП,1028601465111-ooo-rn-grp
117,ООО  СЕВЕРНОЕ ЗОЛОТО,1078706000460-obschestvo-s-ogranichennoj-otvetstvennostyu-severnoe-zoloto
118,ООО  РУДНИК ТАБОРНЫЙ,1171447016608-ooo-rudnik-tabornyij
119,АО  АМЕТИСТОВОЕ,1038200840017-ao-ametistovoe
